Nombre_Vendedor,Comprador_Preferido
CAFÉ OASIS DE SAMDA,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
RUNA COFFEE,BOX BRAND
RUNA COFFEE,INMERSSO BOUTIQUE
RUNA COFFEE,CAFÉ MOLINA
RUNA COFFEE,NEIRA YORK COFFEE
RUNA COFFEE,COLFRESH COFFEE
RUNA COFFEE,FLOR A FRUTO
RUNA COFFEE,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
RUNA COFFEE,ARMANDO VELÁSQUEZ
ROJO PASIÓN,BOX BRAND
ROJO PASIÓN,INMERSSO BOUTIQUE
ROJO PASIÓN,CAFÉ MOLINA
ROJO PASIÓN,NEIRA YORK COFFEE
ROJO PASIÓN,REGIONAL S.A.S
ROJO PASIÓN,FLOR A FRUTO
ROJO PASIÓN,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
SIETE LEONES CAFÉ,INTERLINK2AMERICAS
SIETE LEONES CAFÉ,BOX BRAND
SIETE LEONES CAFÉ,INMERSSO BOUTIQUE
VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,INTERLINK2AMERICAS
VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,BOX BRAND
VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,REGIONAL S.A.S
VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
CAFE ARTE,INTERLINK2AMERICAS
CAFE ARTE,PROCOLOMBIA
CAFE GRANEAO,INTERLINK2AMERICAS
SANTA CRUZ DE LAS AGUAS,INTERLINK2AMERICAS
SANTA CRUZ DE LAS AGUAS,BOX BRAND
SANTA CRUZ DE LAS AGUAS,FLOR A FRUTO
