Horario,Comprador,Vendedor_1,Vendedor_2,Vendedor_3
10:30 - 10:45,INMERSSO BOUTIQUE,CAFÉ ARENILLO,SIETE LEONES CAFÉ,CAFÉ OASIS DE SAMDA
10:30 - 10:45,NEIRA YORK COFFEE,CAFÉ CAMPOHERMOSO,CAFÉ LA AVANZANTE,
10:30 - 10:45,COLFRESH COFFEE,FINCA LA RIVERA,DELUXE COFFEE,
10:30 - 10:45,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,CAFÉ MATILDE 1960,RUNA COFFEE,
10:45 - 11:00,NEIRA YORK COFFEE,CINCO DAMAS,RUNA COFFEE,
10:45 - 11:00,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,CAFÉ TRADICIÓN NEIRA,VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,
10:45 - 11:00,FLOR A FRUTO,CAFÉ OASIS DE SAMDA,FINCA EL CASCABEL,ROJO PASIÓN
11:00 - 11:15,NEIRA YORK COFFEE,ROJO PASIÓN,CAFÉ VALLE DE LIRIO,
11:00 - 11:15,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,CAFÉ AGUA VIVA,CAFÉ OASIS DE SAMDA,
11:15 - 11:30,INTERLINK2AMERICAS,CAFÉ AGUA VIVA,CAFÉ ORIGEN DE LA MONTAÑA,CAFÉ VALLE DE LIRIO
11:15 - 11:30,NEIRA YORK COFFEE,CAFÉ MURAL,DE SOL A SOL,
11:30 - 11:45,BOX BRAND,CAFÉ ARENILLO,CAFÉ ORIGEN DE LA MONTAÑA,
11:45 - 12:00,INMERSSO BOUTIQUE,CAFÉ ORIGEN DE LA MONTAÑA,CAFÉ AGUA VIVA,
12:00 - 12:15,PROCOLOMBIA,CAFÉ ORIGEN DE LA MONTAÑA,CAFÉ VALLE DE LIRIO,
